Sample	localityID	Depth	Month	Year	Alopias_vulpinus	Galeorhinus_galeus	Lamna_nasus	Leucoraja_naevus	Mustelus_asterias	Raja_brachyura	Raja_clavata	Raja_microocellata	Raja_montagui	Raja_undulata	Scyliorhinus_canicula	Scyliorhinus_stellaris	Squalus_acanthias
MBA-2018.03.21-L5-01	L5	1	3	2018	0	0	0	0	0	237	0	56	146652	0	313191	0	0
MBA-2018.03.21-L5-02	L5	2	3	2018	0	0	0	0	0	4032	1	639	1352346	0	2427	0	0
MBA-2018.03.21-L5-02	L5	2	3	2018	0	0	0	0	0	2	4125	9213	658	361	0	0	0
MBA-2018.03.21-L5-02	L5	2	3	2018	0	0	0	0	0	0	0	0	101	0	0	0	0
MBA-2018.04.20-E1-01	E1	1	4	2018	0	0	0	0	0	2	0	0	0	0	136	0	0
MBA-2018.04.20-E1-01	E1	1	4	2018	0	0	0	0	0	0	0	0	0	0	3	0	0
MBA-2018.04.20-E1-01	E1	1	4	2018	0	0	0	0	93	644	728	0	347	0	639	0	0
MBA-2018.04.20-E1-02	E1	2	4	2018	0	0	0	0	0	426	355	36	46165	0	0	0	0
MBA-2018.04.20-E1-02	E1	2	4	2018	0	0	0	0	0	0	0	0	2	0	0	0	0
MBA-2018.04.20-E1-02	E1	2	4	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.04.20-L5-01	L5	1	4	2018	0	0	0	0	0	3	0	0	710	0	0	0	0
MBA-2018.04.20-L5-01	L5	1	4	2018	0	0	0	0	0	1	0	0	0	0	23790	0	0
MBA-2018.04.20-L5-01	L5	1	4	2018	0	0	0	0	0	0	0	0	1	0	0	0	0
MBA-2018.04.20-L5-02	L5	2	4	2018	0	0	0	0	0	0	0	0	1	0	1	0	0
MBA-2018.04.20-L5-02	L5	2	4	2018	0	0	0	0	0	0	0	0	0	0	1	0	0
MBA-2018.04.20-L5-02	L5	2	4	2018	0	0	0	0	0	0	0	0	0	0	3	0	0
